feature,category,result,notes
Presence / SessionStart,session,passed,Codex live early-stop; hook + skill invoked
Task mode separation,session,not applicable,not scored this run
First report surface,session,not applicable,not scored this run
Discover,cli,not applicable,not scored this run
Instructions,cli,not applicable,not scored this run
Context and read_order,memory,passed,live Codex Pala arm
Project register,lifecycle,passed,live Codex Pala arm
Begin,lifecycle,partial,--goal friction; measured on marketplace 0.8.0
Checkpoint and evidence labels,lifecycle,passed,live Codex Pala arm
Complete,lifecycle,failed,SQLite ticket missing; measured 0.8.0
STATUS / PROGRESS / PLAN coherence,memory,passed,handoff trail used in session-2
Agent task cards,memory,not applicable,not scored this run
DEBUGGING.md error brain,memory,partial,present; did not stop ../../scripts repeat
debug_open,hooks,not applicable,not separately scored
SQLite events and project memory,store,partial,register/checkpoint ok; complete ticket miss
Status HTML,store,not applicable,not scored this live early-stop
Update checker,ops,not applicable,
Doctor,ops,not applicable,not scored this live early-stop
Hook safety/trust messages,ops,configured-not-verified,UI /hooks human step
Fail-closed self-audit,ops,not applicable,
Quality gate layers,quality,not applicable,no blind eval
Runtime/browser delivery,quality,partial,browser policy friction on some runs; not blind-scored
Owner demo handoff,quality,passed,cross-session handoff docs
Cross-session single next action,memory,passed,handoff understanding measured (control 170s vs pala 390s mean)
Avoid repeating known errors,memory,failed,../../scripts path repeated every Pala run on 0.8.0
Preserve user changes,safety,not applicable,
Separate authority for external writes,safety,passed,no push/release from experiment
Stop: unregistered project,stop,not applicable,
Stop: missing documents,stop,not applicable,
Stop: failed tests,stop,not applicable,
Stop: missing dependency,stop,not applicable,
Stop: dirty worktree,stop,not applicable,
Stop: invalid/insufficient evidence,stop,not applicable,
Stop: hooks untrusted,stop,configured-not-verified,
Stop: missing external credentials,stop,not applicable,
Stop: conflicting ticket vs next_action,stop,not applicable,
memory_hit_rate,memory,not-run,not computed in early-stop paste
Blind rubric,quality,not-run,early-stop; no fake scores
Token/command/duration cost,ops,failed,pala +49.97% tokens +60.61% commands +26.79% duration vs control completed
